Series Name,Series Code,Country,Country Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Czech Republic,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.4,47.5,47.2,55.4,59.9,57,54,51.8,55.2,50.8,50.4,48.4,49.4,51.2,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,East Asia & Pacific (developing only),EAP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.2,72.4,..,71.3,68.8,64.3,60.6,61.3,59.7,57.5,53,50.9,49.1,42,35.3
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.1,..,..,..,26.8,..,..,..,28.9,..,32.3,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.4,35.8,43.8,49,46.5,43.2,50.2,43.3,36,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.9,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.5,..,..,..,45.4,..,..,..,..,39.3,..,..,..,..,..,30.4,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Europe & Central Asia (developing only),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.6,..,..,..,..,..,44,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.6,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.9,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.2,21.9,20.6,24.7,21.9,18.8,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.7,..,..,..,..,..,..,37.9,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Guatemala,GTM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.5,..,..,..,..,..,70.5,..,..,..,..,71.4,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.1,..,..,..,..,..,..,..,59.9,..,..,..,..,63,..,..,..,..,64.7,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.7,..,..,..,..,..,..,..,75.6,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.9,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Honduras,HND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.3,71.3,72.7,71.9,69.5,66.8,65.2,63.1,64.4,65.4,65.2,69.3,68.5,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,India,IND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.1,..,..,..,..,..,..,..,..,..,..,41.8,..,..,..,..,33.8,..,25.7,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.8,..,..,26,..,..,21.1,20.2,20.1,20,21.8,20.4,18.9,17.4,16.6,15.7,15.1,14.3,14.2
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39,..,..,..,..,..,30.6,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.9,42.2,..,..,..,..,..,19.5,22,25.1,24.1,25.1,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.8,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.4,58.4,53.2,47.1,45.6,24.4,18.1,15.9,12.1,10.1,8.8,6.1,4.9,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.1,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.4,44.2,37.2,49.2,..,..,35.3,30.7,31.5,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Kyrgyz Republic,KGZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.7,41.7,36.8,37.1,39.5,40.4,39.6,41.4,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.8,..,..,..,..,42.5,..,..,..,..,37.6,..,..,..,..,31.7,..,..,..,..,28.6,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Latin America & Caribbean (developing only),LAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Lesotho,LSO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.9,..,..,..,..,..,..,..,60.5,..,..,..,..,..,..,..,61.2,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.7,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Lower middle income,LMC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,"Macedonia, FYR",MKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Madagascar,MDG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.2,..,..,..,80.6,..,..,..,..,81.5,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.5,..,..,..,..,..,..,55.9,..,..,..,..,..,56.6,..,..,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Malaysia,MYS,..,..,45.7,..,..,45.8,..,..,..,..,27.3,..,..,24.8,..,21.1,..,..,21.2,..,..,14.9,..,10.9,..,14.8,..,..,13.5,..,11.9,..,..,7.1,..,8.4,..,..,3.4,..,..
Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
