Series Name,Series Code,Country,Country Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.08,..,..,..,..,0.02,..,0.35,..,..,0.8,0.65,0.41,0.23,0.46,0.38,0.07,0.07,0.04,0,0,0.01,0,0,0,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.06,4.59,4.76,5.64,7.81,5.9,6.16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.25,..,..,..,..,..,..,..,18.98,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.86,..,..,..,1.57,..,..,..,..,0.42,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.35,..,..,5.8,..,..,..,10.02,..,15.34,19.06,13.35,14.15,..,6.02,10.98,9.23,7.03,6.01,6.3,..,3.65,4.85,3.8,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.09,..,..,0.05,..,..,0.02,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,17.87,..,..,..,..,..,..,..,13.49,..,..,..,..,..,..,..,..,11.41,..,..,..,..,..,..,5.78,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Brazil,BRA,..,..,..,..,..,..,..,9.75,9.37,12.56,11.87,7.4,3.81,7.36,9.49,8.59,8.24,..,9.09,8.56,..,5.33,6.14,5.98,5.21,5.39,..,5.79,4.83,5.32,4.47,3.88,3.32,3.59,2.92,2.9,..,2.93,2.48,2.77,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.05,..,..,0,..,0.23,0.35,..,0.13,..,..,..,0.42,..,0.15,..,..,2.63,0.12,0.37,0.28,0.62,0.93,0.77,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.44,..,..,..,42.99,..,..,..,..,23.71,..,..,..,..,..,19.94,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.79,..,..,..,..,..,44.82,..,..,..,..,..,..,..,32.88,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.27,..,..,..,..,..,4.74,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.39,..,..,..,..,..,..,..,..,..,7.64,..,..,7.08,4.26,2.09,1.82,1.54,0.97,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.29,..,..,..,..,6.07,..,..,..,..,..,8.32,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.85,..,..,..,..,..,..,..,..,..,..,30.31,..,..,..,..,33.08,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.73,..,..,..,..,..,..,..,15.29,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..,..,3.08,..,..,2.71,..,1.48,..,1.83,..,1.22,..,1.31,..,1.19,..,..,1.01,..,..,0.63,..,..,0.81,..,0.5,..,0.45,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,China,CHN,..,..,..,..,..,..,..,43.19,..,..,29.4,..,..,21.73,..,..,24.37,..,..,20.57,..,..,13.04,..,..,13.23,..,..,10.23,..,..,4.94,..,..,3.87,..,2.66,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.38,3.21,..,3.41,4.41,..,..,..,8.48,..,..,10.59,10.68,10.52,5.91,4.97,4.16,3.72,9.64,7.48,4.46,3.79,2.97,2.52,2.9,2.48,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.66,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,"Congo, Dem. Rep.",ZAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.26,..,..,..,..,..,..,..,39.25,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.94,..,..,..,..,..,9.58,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Costa Rica,CRI,..,..,..,..,..,..,..,11.37,..,..,..,..,6.05,..,..,7.63,5.29,5.69,4.83,4.56,3.54,3.73,4.22,3.07,2.38,2.99,3.21,3.59,3.44,3.24,2.93,2.03,2.1,1.22,1.55,1.89,0.73,0.67,0.68,0.6,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,2.03,0.63,1.6,2.53,..,..,..,6.45,5.41,..,4.67,..,..,7.57,..,..,..,7.05,..,..,..,..,..,10.3,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.04,..,..,..,..,..,..,..,..,..,0,0.24,0.06,0.05,..,..,0,..,..,..,0,0,0,0.51,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Czech Republic,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,0.01,..,..,0.15,..,..,..,..,..,..,..,0,0,0.03,0.05,0.04,0.08,0.02,0.06,0.08,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.03,..,..,..,..,..,..,..,..,..,7.85,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..,7.17,..,..,4.03,..,..,1.43,..,..,..,1.86,2.03,..,..,1.85,1.13,1.95,2.28,2.71,1.69,1.29,1.17,0.97,0.84,0.6,0.72,0.68,0.56,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,East Asia & Pacific (developing only),EAP,..,..,..,..,..,..,..,38.16,..,..,27.01,..,..,20.89,..,..,21.52,..,..,18.09,..,..,11.84,..,..,11.59,..,..,8.8,..,..,4.74,..,..,3.75,..,2.55,1.83,1.47,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..,..,7.71,..,..,..,..,..,..,7.69,8.28,..,..,6.1,9.76,11.64,..,..,7.29,6.32,5.68,3.6,4.27,3.96,3.73,2.85,2.59,2.46,1.72,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.27,..,10.34,..,..,..,8.24,9.28,..,11.18,8.91,4.81,5.59,5.54,8.5,4.14,3.45,1.73,1.08,1.99,1.67,2.33,1.06,0.98,0.74,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.05,..,..,..,..,0.49,..,0.13,..,..,0.03,..,0.28,0.29,0.3,0.21,0.13,0.92,0.62,0.38,0.42,0.66,0.99,1.17,1.21,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Ethiopia,ETH,..,..,..,..,..,..,..,24.32,..,..,..,..,..,..,..,..,..,..,..,..,..,27.07,..,..,..,16.03,..,..,..,..,8.34,..,..,..,..,..,9.04,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Europe & Central Asia (developing only),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,0.53,..,..,0.57,..,..,1.58,..,..,2.37,..,..,2.5,..,..,1.84,..,..,1.68,..,..,0.91,..,0.77,0.67,0.58,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.94,..,..,..,..,..,0.72,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.85,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.15,..,..,..,..,17.72,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.04,5.76,5.43,6.47,7.03,6.61,5.13,5.75,5.67,5.38,5.02,5.22,4.96,5.15,6.41,6.17,5.04,3.36,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,..,..,..,25.13,24.61,..,..,16.4,..,..,..,..,..,..,11.33,..,..,..,..,..,..,8.41,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Guatemala,GTM,..,..,..,..,..,..,..,..,..,..,..,..,24.76,..,..,18.53,..,..,..,..,..,..,..,..,4.99,..,3.92,..,9.16,6.44,5.67,..,3.93,..,..,..,..,4,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.96,..,..,19.01,..,..,..,..,..,..,..,26.14,..,..,..,..,23.71,..,..,..,..,10.34,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.67,..,28.37,..,..,..,..,..,..,..,..,18.63,..,..,..,..,..,..,..,30.53,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.48,..,..,..,..,..,4.98,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.97,..,..,..,..,..,..,..,..,..,..,28.9,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Honduras,HND,..,..,..,..,..,..,..,..,..,..,..,..,4.86,..,..,20.67,20.77,13.4,10.8,8.84,10.64,11.11,13.34,7.78,13.1,12.94,..,8.09,15.13,12.61,11.89,13.93,11.4,6.91,6.3,4.82,5.4,7.88,9.25,7.66,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,0.06,..,0.02,..,..,..,0.16,..,..,..,..,0,0.01,0,0,0,0,0,0,0.09,0,0.03,0.04,0.08,0.06,0.21,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,India,IND,..,..,..,..,..,..,..,..,..,16.12,..,..,..,14.39,..,..,..,..,..,12.3,..,..,..,..,..,..,..,..,..,..,9.26,..,..,..,..,7.02,..,4.27,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,27.88,..,..,25.71,..,..,17.21,..,..,17.06,..,..,12.37,..,..,9.5,..,..,4.3,..,..,4.43,..,..,4.25,..,2.89,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,..,..,1.33,..,..,..,1.34,..,..,..,0.44,..,..,..,0.35,..,..,..,..,..,..,0.54,..,..,..,0.05,..,..,..,0.03,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,..,0.89,..,..,2.58,..,..,0.83,..,..,0.73,..,..,0.74,..,0.37,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..,0.31,..,..,..,..,..,0.74,..,..,..,..,0.3,..,..,..,..,0.15,..,..,..,0.05,..,0.02,..,0.03,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.01,..,..,..,..,0.97,..,..,1.75,..,..,..,..,2.49,1.35,0.83,0.53,0.04,0.11,0.09,0.01,0.02,0.02,0.01,0.01,0.01,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.93,..,6.38,..,..,5.59,..,..,..,..,..,..,..,11.7,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.55,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.03,..,0.25,0,..,..,0.23,0,0,0.01,0,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Kyrgyz Republic,KGZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.45,..,..,..,..,22.4,..,..,..,..,11.6,..,11.27,9.26,8.7,6.18,2.78,6.67,3.97,0.22,0.66,0.51,0.78,0.22,0.74,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.03,..,..,..,..,13.46,..,..,..,..,11.79,..,..,..,..,9.47,..,..,..,..,7.76,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Latin America & Caribbean (developing only),LAC,..,..,..,..,..,..,..,12.6,..,..,13.93,..,..,10.72,..,..,8.64,..,..,6.59,..,..,6.01,..,..,5.96,..,..,5.41,..,..,4.31,..,..,3.11,..,2.89,2.76,2.64,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.03,..,..,..,..,0,..,0,0.19,4.5,4.77,..,..,..,0.21,0.1,0.05,2.49,0.84,0,0,0.05,1.35,1,0.97,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Lesotho,LSO,..,..,..,..,..,..,..,..,..,..,..,..,44.17,..,..,..,..,..,..,..,44.79,..,..,..,..,..,..,..,31.99,..,..,..,..,..,..,..,31.83,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.14,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.05,..,..,..,..,0.91,..,..,0,..,0.06,0.05,0.03,0.14,0.07,0.03,0.03,0.87,0.77,0.71,0.03,1.64,1.33,0.82,0.75,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Low & middle income,LMY,..,..,..,..,..,..,..,23.12,..,..,18.69,..,..,15.97,..,..,15.65,..,..,14.33,..,..,11.52,..,..,11.32,..,..,10.06,..,..,7.5,..,..,6.48,..,5.58,4.83,4.35,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Low income,LIC,..,..,..,..,..,..,..,33.06,..,..,31.62,..,..,31.05,..,..,30.93,..,..,34.14,..,..,32.93,..,..,31.22,..,..,30.21,..,..,25.85,..,..,23.22,..,21.41,19.92,18.6,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Lower middle income,LMC,..,..,..,..,..,..,..,17.71,..,..,16.34,..,..,15.83,..,..,13.87,..,..,12.9,..,..,11.38,..,..,10.99,..,..,10.14,..,..,8.15,..,..,7.34,..,6.25,5.31,4.69,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
